[INFO] [2016/03/25 16:17:02,059] [1] [0] TestTool.MainWindow: - 软件启动……
[WARN] [2016/03/25 16:17:02,266] [1] [0] VTSCore.Data.Common.ConfigFile`1: - 未能找到文件：C:\Users\wangys\AppData\Local\Seecool\TestTool\Default.xml
[WARN] [2016/03/25 16:17:03,189] [1] [0] VTSCore.Data.Common.ConfigFile`1: - 未能找到文件：C:\Users\wangys\AppData\Local\Seecool\TestTool\RadarInfomationConfig.xml
[INFO] [2016/03/25 16:17:03,206] [1] [0] VTSCore.Layers.Tracks.TracksDraws: - 初始化信号源配置
[INFO] [2016/03/25 16:17:03,277] [1] [0] VTSCore.Layers.Tracks.MapTracks+<OnInitialized>d__0: - 初始化信号源配置完毕
[INFO] [2016/03/25 16:17:09,214] [1] [0] TestTool.MainWindow: - 软件退出。
[INFO] [2016/03/25 16:17:47,363] [1] [0] TestTool.MainWindow: - 软件启动……
[WARN] [2016/03/25 16:17:47,485] [1] [0] VTSCore.Data.Common.ConfigFile`1: - 未能找到文件：C:\Users\wangys\AppData\Local\Seecool\TestTool\Default.xml
[WARN] [2016/03/25 16:17:48,204] [1] [0] VTSCore.Data.Common.ConfigFile`1: - 未能找到文件：C:\Users\wangys\AppData\Local\Seecool\TestTool\RadarInfomationConfig.xml
[INFO] [2016/03/25 16:17:48,221] [1] [0] VTSCore.Layers.Tracks.TracksDraws: - 初始化信号源配置
[INFO] [2016/03/25 16:17:48,279] [1] [0] VTSCore.Layers.Tracks.MapTracks+<OnInitialized>d__0: - 初始化信号源配置完毕
[INFO] [2016/03/25 16:17:53,236] [1] [0] TestTool.MainWindow: - 软件退出。
[INFO] [2016/03/25 16:20:34,414] [1] [0] TestTool.MainWindow: - 软件启动……
[WARN] [2016/03/25 16:20:34,538] [1] [0] VTSCore.Data.Common.ConfigFile`1: - 未能找到文件：C:\Users\wangys\AppData\Local\Seecool\TestTool\Default.xml
[WARN] [2016/03/25 16:20:35,273] [1] [0] VTSCore.Data.Common.ConfigFile`1: - 未能找到文件：C:\Users\wangys\AppData\Local\Seecool\TestTool\RadarInfomationConfig.xml
[INFO] [2016/03/25 16:20:35,289] [1] [0] VTSCore.Layers.Tracks.TracksDraws: - 初始化信号源配置
[INFO] [2016/03/25 16:20:35,344] [1] [0] VTSCore.Layers.Tracks.MapTracks+<OnInitialized>d__0: - 初始化信号源配置完毕
[INFO] [2016/03/25 16:20:37,748] [1] [0] TestTool.MainWindow: - 软件退出。
